alpha,beta,gamma,auroc_obs,auroc_patient
0.4,0.5,0.7,0.6679353758114872,0.8115544958132964
0.4,0.5,0.8,0.6683755500815597,0.8125163287688115
0.4,0.5,0.9,0.6676770317905243,0.8129374406111546
0.4,0.5,1.0,0.664531268686304,0.8126251097472743
0.4,1.0,0.1,0.6588046541302206,0.7930901354711195
0.4,1.0,0.2,0.6600850913605028,0.794130882188286
0.4,1.0,0.3,0.6614165450999235,0.7952985045007342
0.4,1.0,0.4,0.6627701968377071,0.7965508054436718
0.4,1.0,0.5,0.6641041946616075,0.7978648470874267
0.4,1.0,0.6,0.6653371155936922,0.7992223389449273
0.4,1.0,0.7,0.6663168091356123,0.8005414913096656
0.4,1.0,0.8,0.6667534318322297,0.8017004351689591
0.4,1.0,0.9,0.6660592223380859,0.8025336315674434
0.4,1.0,1.0,0.6629451287060852,0.8030156909334255
0.4,1.5,0.1,0.6572840718358461,0.7810006870018351
0.4,1.5,0.2,0.6585675821926344,0.7821004763653098
0.4,1.5,0.3,0.6599000544546657,0.7833515132560819
0.4,1.5,0.4,0.6612563282768793,0.7847359961183196
0.4,1.5,0.5,0.6625932114839694,0.7861893236140807
0.4,1.5,0.6,0.6638300967433393,0.7877423384940478
0.4,1.5,0.7,0.6648168266769542,0.7893554238524301
0.4,1.5,0.8,0.6652672980252978,0.7909588954972447
0.4,1.5,0.9,0.6645991349834753,0.7925113252477585
0.4,1.5,1.0,0.6615435152815479,0.7940458370884103
0.4,2.0,0.1,0.6558343527441552,0.769244994761885
0.4,2.0,0.2,0.6571249692340377,0.7704756998547563
0.4,2.0,0.3,0.6584637429412319,0.7718961840968979
0.4,2.0,0.4,0.6598281421176857,0.7734535374017907
0.4,2.0,0.5,0.6611750538575755,0.7751155709690611
0.4,2.0,0.6,0.6624238700740617,0.7769446844954655
0.4,2.0,0.7,0.6634275023537225,0.778916077623371
0.4,2.0,0.8,0.6639030730868973,0.7810445791929304
0.4,2.0,0.9,0.6632753748198185,0.7833566355437552
0.4,2.0,1.0,0.6602934806381673,0.7860887989236746
0.4,2.5,0.1,0.6544822143904151,0.7583553777521084
0.4,2.5,0.2,0.6557781521050227,0.7597362742533144
0.4,2.5,0.3,0.657123478787319,0.7613388797324647
0.4,2.5,0.4,0.6584974142211135,0.7630827711084709
0.4,2.5,0.5,0.6598561185824433,0.7649891172563908
0.4,2.5,0.6,0.6611208285264691,0.7671164586067775
0.4,2.5,0.7,0.6621458972029322,0.7694624212778332
0.4,2.5,0.8,0.662652021888973,0.772169936423089
0.4,2.5,0.9,0.662071064176303,0.7752934197074599
0.4,2.5,1.0,0.6591690830049882,0.7791309497331746
0.4,3.0,0.1,0.6532208608968266,0.7484513855011891
0.4,3.0,0.2,0.654522803047088,0.7500235064916555
0.4,3.0,0.3,0.6558762418055868,0.7518190509260121
0.4,3.0,0.4,0.6572599065644473,0.7537886927883377
0.4,3.0,0.5,0.6586316466266231,0.7559516200721355
0.4,3.0,0.6,0.6599139571875499,0.7583812441920901
0.4,3.0,0.7,0.6609623751924834,0.7611294181995849
0.4,3.0,0.8,0.6615018876285053,0.764388639683259
0.4,3.0,0.9,0.6609706142357523,0.7682706286297056
0.4,3.0,1.0,0.6581497073177816,0.7730679886648697
0.4,3.5,0.1,0.652034656411981,0.7396262886289005
0.4,3.5,0.2,0.6533448088834629,0.7413744544503854
0.4,3.5,0.3,0.6547069804625776,0.7433837976591566
0.4,3.5,0.4,0.6561016252665536,0.7455776714121083
0.4,3.5,0.5,0.6574878521046952,0.7480037685696108
0.4,3.5,0.6,0.6587891903347661,0.7507424497984353
0.4,3.5,0.7,0.659862723807705,0.7538578279251975
0.4,3.5,0.8,0.6604378712827108,0.7576113221306309
0.4,3.5,0.9,0.6599580590224159,0.7621516238562372
0.4,3.5,1.0,0.6572191675049531,0.767821791316897
0.4,4.0,0.1,0.6509224495661889,0.7317651879122015
0.4,4.0,0.2,0.6522396623980011,0.7337007775918458
0.4,4.0,0.3,0.6536112656791636,0.7359056915022777
0.4,4.0,0.4,0.6550166057874625,0.7383243386425474
0.4,4.0,0.5,0.6564176696089888,0.741012056080859
0.4,4.0,0.6,0.6577384582628922,0.7440382050962229
0.4,4.0,0.7,0.6588386507971564,0.7475100236782894
